name,price,url
100% Dark Hot Chocolate Flakes,9.95,https://www.chocolate.co.uk/products/100-dark-hot-chocolate-flakes
2.5kg Bulk 41% Milk Hot Chocolate Drops,,https://www.chocolate.co.uk/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,,https://www.chocolate.co.uk/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,8.75,https://www.chocolate.co.uk/products/41-colombian-milk-hot-chocolate-drops
61% Dark Hot Chocolate Drops,8.75,https://www.chocolate.co.uk/products/62-dark-hot-chocolate
70% Dark Hot Chocolate Flakes,9.95,https://www.chocolate.co.uk/products/70-dark-hot-chocolate-flakes
Almost Perfect,,https://www.chocolate.co.uk/products/almost-perfect
Assorted Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/assorted-chocolate-malt-balls
Blonde Caramel,5.00,https://www.chocolate.co.uk/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb - Bag,8.50,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,19.95,https://www.chocolate.co.uk/products/blonde-chocolate-truffles
Blonde Hot Chocolate Flakes,9.95,https://www.chocolate.co.uk/products/blonde-hot-chocolate-flakes
Bulk 41% Milk Hot Chocolate Drops 750 grams,17.50,https://www.chocolate.co.uk/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,17.50,https://www.chocolate.co.uk/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,5.00,https://www.chocolate.co.uk/products/caramelised-milk-chocolate-bar
Chai Caramel Latte,5.00,https://www.chocolate.co.uk/products/chai-caramel-latte
Chocolate Caramelised Pecan Nuts,8.95,https://www.chocolate.co.uk/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,55.00,https://www.chocolate.co.uk/products/celebration-hamper
Christmas Cracker,5.00,https://www.chocolate.co.uk/products/christmas-cracker-chocolate-bar
Cinnamon Toast,5.00,https://www.chocolate.co.uk/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,30.00,https://www.chocolate.co.uk/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,5.00,https://www.chocolate.co.uk/products/colombian-dark-chocolate-bar
Crunchy Biscuit,5.00,https://www.chocolate.co.uk/products/crunchy-biscuit-blonde-chocolate-bar
Salted Caramels Dark Chocolate,19.95,https://www.chocolate.co.uk/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,19.95,https://www.chocolate.co.uk/products/salt-caramels-milk-chocolate
Tea & Biscuit,5.00,https://www.chocolate.co.uk/products/tea-biscuit-chocolate-bar
Tea & Biscuit Blonde Chocolate Easter Egg,27.50,https://www.chocolate.co.uk/products/pre-order-tea-biscuit-easter-egg
Velvet White,5.00,https://www.chocolate.co.uk/products/velvet-white-chocolate-bar
Pay Monthly: Box of the Month,20.00,https://www.chocolate.co.uk/products/pay-monthly-box-of-the-month
Peppermint Malt Balls,9.00,https://www.chocolate.co.uk/products/peppermint-malt-balls
Peppermint Swirl,5.00,https://www.chocolate.co.uk/products/peppermint-swirl-chocolate-bar
Pistachio & Cranberry,5.00,https://www.chocolate.co.uk/products/pistachio-cranberry-chocolate-bar
Praline Quail Eggs,9.50,https://www.chocolate.co.uk/products/praline-quail-eggs
Pre-Order - Dark Chocolate Honeycomb Egg & Honeycomb (Large),25.00,https://www.chocolate.co.uk/products/hokey-pokey-large-wicked-egg-honeycomb
Pre-Order - Foil Wrapped Milk Chocolate Mini Eggs,,https://www.chocolate.co.uk/products/pre-order-ecuadorian-foil-wrapped-solid-chocolate-mini-eggs
Pre-Order - Hokey Pokey Blondie Egg & Honeycomb (Large),25.00,https://www.chocolate.co.uk/products/hokey-pokey-large-blondie-egg-honeycomb
